epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3658.39,1.45797,1.65333,1.43275,0.22535,0.26722,0.1863,0.08558,1.97126,3.20567,2.1861,0.0701293,0.00331897,0.00331897
2,10705.9,1.46425,1.43654,1.44772,0.61277,0.2888,0.32779,0.18784,1.49913,1.54992,1.51427,0.0400635,0.00658644,0.00658644
3,14572.8,1.38772,1.29705,1.39123,0.55371,0.24991,0.27459,0.13526,1.77758,2.17846,1.80016,0.00993159,0.00978792,0.00978792
4,18170.7,1.34595,1.21731,1.36989,0.6224,0.34085,0.36863,0.21768,1.39609,1.29231,1.4249,0.009703,0.009703,0.009703
5,50548.4,1.30357,1.14194,1.3324,0.65092,0.36752,0.41071,0.26554,1.21464,1.01622,1.29378,0.009604,0.009604,0.009604
6,58742.1,1.25469,1.08191,1.30027,0.66244,0.37884,0.42032,0.27266,1.21377,0.92694,1.29822,0.009505,0.009505,0.009505
7,65164.4,1.21967,1.03293,1.28114,0.64545,0.37829,0.41561,0.27506,1.18119,0.92329,1.27688,0.009406,0.009406,0.009406
8,87659.7,1.21229,1.01493,1.27864,0.66085,0.39563,0.43467,0.29707,1.11627,0.86113,1.23081,0.009307,0.009307,0.009307
9,91769.9,1.18106,0.97978,1.26422,0.66865,0.40675,0.44199,0.30877,1.0598,0.86215,1.18706,0.009208,0.009208,0.009208
10,94023.3,1.16171,0.9532,1.24561,0.67001,0.38606,0.43811,0.29489,1.13764,0.8714,1.24061,0.009109,0.009109,0.009109
11,96411.9,1.14703,0.93528,1.23367,0.68988,0.41277,0.45637,0.31262,1.07798,0.75435,1.20013,0.00901,0.00901,0.00901
12,98644.2,1.13677,0.9127,1.22961,0.68365,0.4034,0.44923,0.3069,1.07979,0.78185,1.18186,0.008911,0.008911,0.008911
13,100851,1.12206,0.89526,1.22142,0.68464,0.4116,0.45121,0.30506,1.08339,0.7733,1.18928,0.008812,0.008812,0.008812
14,103051,1.10978,0.88209,1.2137,0.67632,0.40174,0.44147,0.30461,1.06343,0.80843,1.17271,0.008713,0.008713,0.008713
15,105254,1.1004,0.8679,1.20431,0.68491,0.40964,0.4841,0.33608,1.05462,0.74439,1.17379,0.008614,0.008614,0.008614
16,107457,1.09158,0.85009,1.20394,0.6881,0.40814,0.44992,0.30565,1.1225,0.74775,1.18184,0.008515,0.008515,0.008515
17,109659,1.08098,0.83595,1.19859,0.696,0.40795,0.45704,0.32678,1.01585,0.69851,1.15936,0.008416,0.008416,0.008416
18,111862,1.08652,0.83516,1.19826,0.94818,0.41854,0.46201,0.33471,0.98275,0.66292,1.13243,0.008317,0.008317,0.008317
19,114069,1.06009,0.81223,1.18389,0.94271,0.42659,0.46263,0.33172,0.99669,0.66253,1.1409,0.008218,0.008218,0.008218
20,117214,1.05424,0.80252,1.18118,0.94292,0.43077,0.46432,0.33792,0.98314,0.65152,1.12804,0.008119,0.008119,0.008119
21,120725,1.05059,0.79875,1.17789,0.69596,0.42662,0.46308,0.33679,0.9804,0.65121,1.12256,0.00802,0.00802,0.00802
22,123654,1.04991,0.79635,1.1757,0.69558,0.42967,0.46504,0.34389,0.94285,0.63281,1.10748,0.007921,0.007921,0.007921
23,125874,1.03524,0.78482,1.16547,0.94631,0.42987,0.46613,0.33981,0.95295,0.6442,1.11279,0.007822,0.007822,0.007822
24,129152,1.02605,0.76892,1.16194,0.94481,0.43823,0.46777,0.34712,0.93789,0.61793,1.09602,0.007723,0.007723,0.007723
25,136624,1.01991,0.76359,1.15935,0.94987,0.42764,0.46448,0.34178,0.95721,0.64135,1.10761,0.007624,0.007624,0.007624
26,140444,1.01131,0.75742,1.15327,0.94877,0.4368,0.47045,0.34937,0.92809,0.60046,1.08782,0.007525,0.007525,0.007525
27,145973,1.00217,0.74108,1.14846,0.95291,0.43198,0.46742,0.35137,0.91737,0.58438,1.08184,0.007426,0.007426,0.007426
28,148491,1.01013,0.74099,1.15066,0.94827,0.43625,0.47146,0.35026,0.92573,0.59305,1.0797,0.007327,0.007327,0.007327
29,150949,1.00845,0.73598,1.14518,0.9491,0.43674,0.47112,0.3561,0.91202,0.58105,1.0674,0.007228,0.007228,0.007228
30,158521,0.99437,0.72466,1.14335,0.95306,0.43829,0.47282,0.35292,0.92028,0.57733,1.07927,0.007129,0.007129,0.007129
31,163367,0.99327,0.72774,1.14201,0.95422,0.43773,0.4737,0.36053,0.88971,0.55711,1.06572,0.00703,0.00703,0.00703
32,224275,0.98071,0.71519,1.13396,0.95229,0.44117,0.47298,0.35909,0.89237,0.56575,1.06078,0.006931,0.006931,0.006931
33,228953,0.973,0.71132,1.13142,0.95577,0.4351,0.47011,0.35208,0.92311,0.56901,1.07834,0.006832,0.006832,0.006832
34,231792,0.97327,0.6992,1.13058,0.95354,0.44145,0.47409,0.35931,0.89534,0.55243,1.06419,0.006733,0.006733,0.006733
35,234952,0.96119,0.69157,1.1233,0.95566,0.4428,0.47816,0.36699,0.87183,0.53808,1.05135,0.006634,0.006634,0.006634
36,241144,0.96904,0.69987,1.12706,0.95823,0.43802,0.50451,0.3826,0.88277,0.54196,1.05291,0.006535,0.006535,0.006535
37,244887,0.9628,0.68824,1.11865,0.95462,0.44667,0.47853,0.36574,0.87974,0.53157,1.04557,0.006436,0.006436,0.006436
38,258768,0.96073,0.68247,1.12203,0.95534,0.44498,0.52796,0.40082,0.87834,0.53107,1.05217,0.006337,0.006337,0.006337
