epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3211.37,1.25751,1.70576,1.28668,0.92126,0.37095,0.41976,0.26402,1.24925,1.26854,1.28398,0.000369533,0.000369533,0.000369533
2,6804.59,1.18835,1.16387,1.23148,0.90116,0.37541,0.41475,0.26619,1.19725,1.09497,1.24499,0.000725217,0.000725217,0.000725217
3,10591.1,1.1884,1.05391,1.23052,0.9121,0.39239,0.4276,0.25983,1.24274,0.98406,1.26648,0.00106624,0.00106624,0.00106624
4,14519.8,1.15993,0.99416,1.21888,0.9217,0.39454,0.44742,0.30176,1.11549,0.89004,1.20185,0.00104501,0.00104501,0.00104501
5,17908.5,1.1326,0.9546,1.20147,0.67048,0.41441,0.44867,0.31953,1.01945,0.78011,1.11938,0.00102301,0.00102301,0.00102301
6,25546.9,1.10666,0.89747,1.1819,0.68151,0.4143,0.45589,0.3237,1.02466,0.73719,1.13028,0.00100101,0.00100101,0.00100101
7,33801.4,1.08008,0.86571,1.17266,0.68959,0.42074,0.4607,0.33331,0.98376,0.70512,1.10041,0.000979013,0.000979013,0.000979013
8,37559.3,1.06807,0.84427,1.16647,0.94589,0.42819,0.46778,0.34455,0.94329,0.66451,1.07893,0.000957015,0.000957015,0.000957015
9,41119.7,1.05494,0.8173,1.15903,0.94753,0.42176,0.46019,0.33534,0.96282,0.69024,1.09126,0.000935018,0.000935018,0.000935018
10,43915.8,1.03982,0.81035,1.14966,0.9509,0.43195,0.46745,0.34183,0.96169,0.65575,1.08908,0.00091302,0.00091302,0.00091302
11,46399.3,1.02419,0.78324,1.14511,0.94883,0.43086,0.4661,0.33946,0.97714,0.63759,1.09777,0.000891022,0.000891022,0.000891022
1,2684.91,1.25782,1.70841,1.28946,0.90581,0.38833,0.42529,0.26474,1.24236,1.31796,1.27674,0.000369533,0.000369533,0.000369533
2,6047.24,1.18282,1.16249,1.22517,0.90751,0.37011,0.41594,0.2763,1.1267,1.0627,1.19201,0.000725217,0.000725217,0.000725217
3,10257.9,1.19181,1.06361,1.23229,0.6706,0.39144,0.4338,0.28177,1.15881,0.93971,1.21369,0.00106624,0.00106624,0.00106624
4,14241.5,1.16201,1.00182,1.21982,0.66871,0.39958,0.46119,0.30535,1.12589,0.86909,1.20304,0.00104501,0.00104501,0.00104501
5,28033.4,1.13477,0.94983,1.20043,0.68116,0.41241,0.45036,0.31726,1.03399,0.79249,1.13141,0.00102301,0.00102301,0.00102301
6,31523.1,1.10473,0.89588,1.18097,0.67894,0.41399,0.52331,0.36913,1.03168,0.75607,1.13457,0.00100101,0.00100101,0.00100101
7,35503.2,1.0812,0.86612,1.17159,0.68727,0.42404,0.45895,0.32957,0.98917,0.71259,1.10656,0.000979013,0.000979013,0.000979013
